price,Date
44.6,2022-04-03 20:15:00
45.24,2022-04-03 20:30:00
44.76,2022-04-03 20:45:00
45.61,2022-04-03 21:00:00
45.75,2022-04-03 21:15:00
46.04,2022-04-03 21:30:00
46.0,2022-04-03 21:45:00
46.63,2022-04-03 22:00:00
47.4,2022-04-03 22:15:00
47.41,2022-04-03 22:30:00
46.76,2022-04-03 22:45:00
46.96,2022-04-03 23:00:00
46.65,2022-04-03 23:15:00
46.33,2022-04-03 23:30:00
46.87,2022-04-03 23:45:00
46.56,2022-04-04 00:00:00
46.15,2022-04-04 00:15:00
46.48,2022-04-04 00:30:00
46.13,2022-04-04 00:45:00
46.5,2022-04-04 01:00:00
46.54,2022-04-04 01:15:00
46.34,2022-04-04 01:30:00
46.3,2022-04-04 01:45:00
46.21,2022-04-04 02:00:00
46.37,2022-04-04 02:15:00
46.52,2022-04-04 02:30:00
46.81,2022-04-04 02:45:00
46.69,2022-04-04 03:00:00
46.87,2022-04-04 03:15:00
46.29,2022-04-04 03:30:00
46.1,2022-04-04 03:45:00
46.19,2022-04-04 04:00:00
46.23,2022-04-04 04:15:00
46.26,2022-04-04 04:30:00
45.98,2022-04-04 04:45:00
46.15,2022-04-04 05:00:00
46.08,2022-04-04 05:15:00
45.92,2022-04-04 05:30:00
45.37,2022-04-04 05:45:00
45.63,2022-04-04 06:00:00
45.7,2022-04-04 06:15:00
45.7,2022-04-04 06:30:00
45.11,2022-04-04 06:45:00
44.7,2022-04-04 07:00:00
44.71,2022-04-04 07:15:00
44.89,2022-04-04 07:30:00
45.2,2022-04-04 07:45:00
44.72,2022-04-04 08:00:00
44.7,2022-04-04 08:15:00
44.13,2022-04-04 08:30:00
44.34,2022-04-04 08:45:00
44.02,2022-04-04 09:00:00
43.93,2022-04-04 09:15:00
43.5,2022-04-04 09:30:00
43.22,2022-04-04 09:45:00
43.33,2022-04-04 10:00:00
43.16,2022-04-04 10:15:00
42.48,2022-04-04 10:30:00
42.9,2022-04-04 10:45:00
43.0,2022-04-04 11:00:00
42.6,2022-04-04 11:15:00
42.74,2022-04-04 11:30:00
42.79,2022-04-04 11:45:00
42.82,2022-04-04 12:00:00
42.55,2022-04-04 12:15:00
42.0,2022-04-04 12:30:00
41.9,2022-04-04 12:45:00
41.79,2022-04-04 13:00:00
42.32,2022-04-04 13:15:00
42.53,2022-04-04 13:30:00
42.15,2022-04-04 13:45:00
42.32,2022-04-04 14:00:00
42.35,2022-04-04 14:15:00
41.08,2022-04-04 14:30:00
40.76,2022-04-04 14:45:00
40.67,2022-04-04 15:00:00
40.86,2022-04-04 15:15:00
40.29,2022-04-04 15:30:00
40.21,2022-04-04 15:45:00
39.52,2022-04-04 16:00:00
38.8,2022-04-04 16:15:00
38.39,2022-04-04 16:30:00
37.74,2022-04-04 16:45:00
38.14,2022-04-04 17:00:00
37.21,2022-04-04 17:15:00
36.45,2022-04-04 17:30:00
37.06,2022-04-04 17:45:00
37.2,2022-04-04 18:00:00
36.46,2022-04-04 18:15:00
35.78,2022-04-04 18:30:00
35.89,2022-04-04 18:45:00
35.66,2022-04-04 19:00:00
35.36,2022-04-04 19:15:00
34.6,2022-04-04 19:30:00
33.41,2022-04-04 19:45:00
34.27,2022-04-04 20:00:00
34.86,2022-04-04 20:15:00
34.17,2022-04-04 20:30:00
34.48,2022-04-04 20:45:00
35.34,2022-04-04 21:00:00
35.33,2022-04-04 21:15:00
35.79,2022-04-04 21:30:00
35.75,2022-04-04 21:45:00
34.69,2022-04-04 22:00:00
35.0,2022-04-04 22:15:00
35.11,2022-04-04 22:30:00
35.13,2022-04-04 22:45:00
35.02,2022-04-04 23:00:00
35.0,2022-04-04 23:15:00
34.62,2022-04-04 23:30:00
34.75,2022-04-04 23:45:00
35.48,2022-04-05 00:00:00
35.22,2022-04-05 00:15:00
33.43,2022-04-05 00:30:00
32.61,2022-04-05 00:45:00
33.28,2022-04-05 01:00:00
33.62,2022-04-05 01:15:00
33.91,2022-04-05 01:30:00
34.2,2022-04-05 01:45:00
34.12,2022-04-05 02:00:00
33.75,2022-04-05 02:15:00
33.91,2022-04-05 02:30:00
33.92,2022-04-05 02:45:00
34.14,2022-04-05 03:00:00
33.97,2022-04-05 03:15:00
33.9,2022-04-05 03:30:00
33.91,2022-04-05 03:45:00
33.72,2022-04-05 04:00:00
33.69,2022-04-05 04:15:00
33.68,2022-04-05 04:30:00
33.54,2022-04-05 04:45:00
33.63,2022-04-05 05:00:00
33.53,2022-04-05 05:15:00
33.39,2022-04-05 05:30:00
33.46,2022-04-05 05:45:00
33.68,2022-04-05 06:00:00
33.73,2022-04-05 06:15:00
33.97,2022-04-05 06:30:00
33.77,2022-04-05 06:45:00
33.97,2022-04-05 07:00:00
34.28,2022-04-05 07:15:00
35.4,2022-04-05 07:30:00
34.61,2022-04-05 07:45:00
34.54,2022-04-05 08:00:00
34.1,2022-04-05 08:15:00
34.4,2022-04-05 08:30:00
34.53,2022-04-05 08:45:00
34.38,2022-04-05 09:00:00
34.49,2022-04-05 09:15:00
34.16,2022-04-05 09:30:00
33.49,2022-04-05 09:45:00
33.78,2022-04-05 10:00:00
33.86,2022-04-05 10:15:00
33.73,2022-04-05 10:30:00
33.7,2022-04-05 10:45:00
33.69,2022-04-05 11:00:00
33.91,2022-04-05 11:15:00
33.86,2022-04-05 11:30:00
34.07,2022-04-05 11:45:00
33.65,2022-04-05 12:00:00
33.9,2022-04-05 12:15:00
34.2,2022-04-05 12:30:00
34.27,2022-04-05 12:45:00
34.67,2022-04-05 13:00:00
35.5,2022-04-05 13:15:00
34.83,2022-04-05 13:30:00
34.37,2022-04-05 13:45:00
33.85,2022-04-05 14:00:00
34.52,2022-04-05 14:15:00
34.16,2022-04-05 14:30:00
34.27,2022-04-05 14:45:00
34.23,2022-04-05 15:00:00
34.05,2022-04-05 15:15:00
33.82,2022-04-05 15:30:00
33.68,2022-04-05 15:45:00
32.74,2022-04-05 16:00:00
31.31,2022-04-05 16:15:00
30.94,2022-04-05 16:30:00
31.2,2022-04-05 16:45:00
31.16,2022-04-05 17:00:00
31.19,2022-04-05 17:15:00
31.47,2022-04-05 17:30:00
31.27,2022-04-05 17:45:00
31.17,2022-04-05 18:00:00
31.37,2022-04-05 18:15:00
30.98,2022-04-05 18:30:00
30.81,2022-04-05 18:45:00
29.81,2022-04-05 19:00:00
30.66,2022-04-05 19:15:00
30.28,2022-04-05 19:30:00
30.4,2022-04-05 19:45:00
30.2,2022-04-05 20:00:00
29.84,2022-04-05 20:15:00
29.48,2022-04-05 20:30:00
29.62,2022-04-05 20:45:00
29.02,2022-04-05 21:00:00
29.15,2022-04-05 21:15:00
29.24,2022-04-05 21:30:00
29.75,2022-04-05 21:45:00
29.9,2022-04-05 22:00:00
29.93,2022-04-05 22:15:00
29.95,2022-04-05 22:30:00
30.12,2022-04-05 22:45:00
30.52,2022-04-05 23:00:00
30.17,2022-04-05 23:15:00
29.94,2022-04-05 23:30:00
30.49,2022-04-05 23:45:00
29.21,2022-04-06 00:00:00
29.17,2022-04-06 00:15:00
29.25,2022-04-06 00:30:00
30.01,2022-04-06 00:45:00
29.97,2022-04-06 01:00:00
29.59,2022-04-06 01:15:00
29.48,2022-04-06 01:30:00
30.05,2022-04-06 01:45:00
29.95,2022-04-06 02:00:00
29.87,2022-04-06 02:15:00
30.02,2022-04-06 02:30:00
29.55,2022-04-06 02:45:00
29.49,2022-04-06 03:00:00
29.32,2022-04-06 03:15:00
29.41,2022-04-06 03:30:00
29.09,2022-04-06 03:45:00
29.38,2022-04-06 04:00:00
29.61,2022-04-06 04:15:00
29.66,2022-04-06 04:30:00
29.91,2022-04-06 04:45:00
30.01,2022-04-06 05:00:00
29.76,2022-04-06 05:15:00
29.68,2022-04-06 05:30:00
29.66,2022-04-06 05:45:00
29.69,2022-04-06 06:00:00
29.55,2022-04-06 06:15:00
29.79,2022-04-06 06:30:00
29.79,2022-04-06 06:45:00
30.24,2022-04-06 07:00:00
30.11,2022-04-06 07:15:00
29.92,2022-04-06 07:30:00
29.86,2022-04-06 07:45:00
29.61,2022-04-06 08:00:00
30.25,2022-04-06 08:15:00
30.1,2022-04-06 08:30:00
30.23,2022-04-06 08:45:00
29.98,2022-04-06 09:00:00
29.85,2022-04-06 09:15:00
30.97,2022-04-06 09:30:00
30.88,2022-04-06 09:45:00
30.21,2022-04-06 10:00:00
30.15,2022-04-06 10:15:00
29.88,2022-04-06 10:30:00
29.29,2022-04-06 10:45:00
28.9,2022-04-06 11:00:00
28.94,2022-04-06 11:15:00
29.2,2022-04-06 11:30:00
29.11,2022-04-06 11:45:00
29.3,2022-04-06 12:00:00
29.34,2022-04-06 12:15:00
29.17,2022-04-06 12:30:00
28.85,2022-04-06 12:45:00
29.21,2022-04-06 13:00:00
29.21,2022-04-06 13:15:00
28.0,2022-04-06 13:30:00
28.17,2022-04-06 13:45:00
28.59,2022-04-06 14:00:00
28.48,2022-04-06 14:15:00
28.28,2022-04-06 14:30:00
28.15,2022-04-06 14:45:00
27.94,2022-04-06 15:00:00
27.81,2022-04-06 15:15:00
28.11,2022-04-06 15:30:00
27.92,2022-04-06 15:45:00
27.92,2022-04-06 16:00:00
27.66,2022-04-06 16:15:00
27.48,2022-04-06 16:30:00
27.56,2022-04-06 16:45:00
27.45,2022-04-06 17:00:00
27.71,2022-04-06 17:15:00
27.8,2022-04-06 17:30:00
27.86,2022-04-06 17:45:00
27.68,2022-04-06 18:00:00
27.46,2022-04-06 18:15:00
28.08,2022-04-06 18:30:00
28.18,2022-04-06 18:45:00
28.08,2022-04-06 19:00:00
28.0,2022-04-06 19:15:00
28.18,2022-04-06 19:30:00
28.24,2022-04-06 19:45:00
28.15,2022-04-06 20:00:00
28.14,2022-04-06 20:15:00
28.02,2022-04-06 20:30:00
28.28,2022-04-06 20:45:00
28.31,2022-04-06 21:00:00
28.32,2022-04-06 21:15:00
28.21,2022-04-06 21:30:00
